"Movie","Netflix","Hulu","Prime.Video","Disney.","imdb_title_id","date_published","genre","duration","description","weighted_average_vote","total_votes","mean_vote","allgenders_0age_avg_vote","allgenders_0age_votes","allgenders_18age_avg_vote","allgenders_18age_votes","allgenders_30age_avg_vote","allgenders_30age_votes","allgenders_45age_avg_vote","allgenders_45age_votes","Certificate","Genre","Meta_score","Poster_Link"
"3 Idiots",1,0,1,0,"tt1187043","2009-12-25","Comedy, Drama",170,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,332217,8.5,8.3,371,8.7,105026,8.2,101928,7.2,10089,"UA","Comedy, Drama",67,"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR0,0,67,98_AL_.jpg"
"50/50",0,1,0,0,"tt1306980","2012-03-02","Comedy, Drama, Romance",100,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",7.6,311992,7.7,7.5,73,7.8,88382,7.6,147424,7.4,19899,"R","Comedy, Drama, Romance",72,"https://m.media-amazon.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
"A Star Is Born",0,0,1,0,"tt1517451","2018-10-11","Drama, Music, Romance",136,"A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.",7.7,318520,7.8,7.6,519,7.8,75562,7.5,100384,7.5,28905,"UA","Drama, Music, Romance",88,"https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
"A Star Is Born",0,0,1,0,"tt0029606","1938-11-20","Drama, Romance",111,"A young woman comes to Hollywood with dreams of stardom, and achieves them only with the help of an alcoholic leading man whose best days are behind him.",7.3,8448,7.6,7.5,2,7.4,791,7.2,2554,7.3,3276,"UA","Drama, Music, Romance",88,"https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
"A Star Is Born",0,0,1,0,"tt0047522","1955-02-25","Drama, Musical, Romance",154,"A film star helps a young singer and actress find fame, even as age and alcoholism send his own career on a downward spiral.",7.6,15391,7.7,7.6,6,7.8,1551,7.4,4989,7.6,5388,"UA","Drama, Music, Romance",88,"https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
"A Star Is Born",0,0,1,0,"tt0075265","1977","Drama, Music, Romance",139,"A has-been rock star falls in love with a young, up-and-coming songstress.",6.2,9699,6.5,3.5,2,6,711,6,2221,6.3,4392,"UA","Drama, Music, Romance",88,"https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
"About Time",1,0,0,0,"tt2194499","2013-11-07","Comedy, Drama, Fantasy",123,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",7.8,289857,8,7.9,147,8,78295,7.7,109606,7.6,23778,"R","Comedy, Drama, Fantasy",55,"https://m.media-amazon.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Airplane!",0,0,1,0,"tt0080339","1980-10-30","Comedy",88,"A man afraid to fly must ensure that a plane lands safely after the pilots become sick.",7.7,208636,7.8,8,109,7.7,35046,7.6,85756,7.9,34915,"U","Comedy",78,"https://m.media-amazon.com/images/M/MV5BZjA3YjdhMWEtYjc2Ni00YzVlLWI0MTUtMGZmNTJjNmU0Yzk2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Aladdin",0,0,0,1,"tt6139732","2019-05-22","Adventure, Family, Fantasy",128,"A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",7,215140,7.2,7,571,7.1,48027,6.9,72095,6.8,13184,"U","Animation, Adventure, Comedy",86,"https://m.media-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Aladdin",0,0,0,1,"tt0103639","1993-12-03","Animation, Adventure, Comedy",90,"A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",8,363761,8.1,8,377,8,83880,8.1,151212,7.7,26833,"U","Animation, Adventure, Comedy",86,"https://m.media-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Apocalypto",0,0,1,0,"tt0472043","2007-01-05","Action, Adventure, Drama",139,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",7.8,286225,7.9,7.3,47,7.8,48561,7.8,150571,7.8,32124,"A","Action, Adventure, Drama",68,"https://m.media-amazon.com/images/M/MV5BMzhmNGMzMDMtZDM0Yi00MmVmLWExYjAtZDhjZjcxZDM0MzJhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
"As Good as It Gets",1,0,0,0,"tt0119822","1998-01-30","Comedy, Drama, Romance",139,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",7.7,270079,7.8,7.6,72,7.7,32922,7.7,127543,7.8,45668,"A","Comedy, Drama, Romance",67,"https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Avatar",0,0,0,1,"tt0499549","2010-01-15","Action, Adventure, Fantasy",162,"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",7.8,1101160,7.8,7.5,729,7.7,254045,7.8,483163,7.9,98090,"UA","Action, Adventure, Fantasy",83,"https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
